Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,Poland,Europe and North America,Cultural,False,,1979,"50.0388888889, 19.175"
Tubbataha Reefs Natural Park,Philippines,Asia and the Pacific,Natural,False,,1993,"8.9533333333, 119.8675"
Old City of Zamość,Poland,Europe and North America,Cultural,False,,1992,"50.7169444444, 23.2527777778"
Convent of Christ in Tomar,Portugal,Europe and North America,Cultural,False,,1983,"39.60472, -8.4175"
Monastery of Alcobaça,Portugal,Europe and North America,Cultural,False,,1989,"39.55, -8.97667"
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",Portugal,Europe and North America,Cultural,False,,1996,"41.14166667, -8.616666667"
"Royal Building of <i>Mafra</i> – Palace, Basilica, Convent, <i>Cerco</i> Garden and Hunting Park (<i>Tapada</i>)",Portugal,Europe and North America,Cultural,False,,2019,"38.9371666667, -9.3255277778"
Monastery of the Hieronymites and Tower of Belém in Lisbon,Portugal,Europe and North America,Cultural,False,,1983,"38.69194, -9.21583"
Gaya Tumuli,Republic of Korea,Asia and the Pacific,Cultural,False,,2023,"35.2372638889, 128.873725"
Changdeokgung Palace Complex,Republic of Korea,Asia and the Pacific,Cultural,False,,1997,"37.5788888889, 126.9911111111"
"Getbol, Korean Tidal Flats",Republic of Korea,Asia and the Pacific,Natural,False,,2021,"34.8288222222, 126.1044444444"
Baekje Historic Areas,Republic of Korea,Asia and the Pacific,Cultural,False,,2015,"36.4619444444, 127.1272222222"
Hwaseong Fortress,Republic of Korea,Asia and the Pacific,Cultural,False,,1997,"37.27222, 127.00833"
Jongmyo Shrine,Republic of Korea,Asia and the Pacific,Cultural,False,,1995,"37.5747222222, 126.9936111111"
"Sansa, Buddhist Mountain Monasteries in Korea",Republic of Korea,Asia and the Pacific,Cultural,False,,2018,"36.5419444444, 127.8333333333"
Brâncuși Monumental Ensemble of Târgu Jiu,Romania,Europe and North America,Cultural,False,,2024,"45.0382777778, 23.2787777778"
Gebel Barkal and the Sites of the Napatan Region,Sudan,Arab States,Cultural,False,,2003,"18.537, 31.8280277778"
Historic Centre of Sighişoara,Romania,Europe and North America,Cultural,False,,1999,"46.21777778, 24.79222222"
Villages with Fortified Churches in Transylvania,Romania,Europe and North America,Cultural,False,,1993,"46.13583333, 24.77305556"
Wooden Churches of Maramureş,Romania,Europe and North America,Cultural,False,,1999,"47.82083333, 24.05583333"
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,Russian Federation,Europe and North America,Cultural,False,,2017,"55.7702777778, 48.6527777778"
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,Russian Federation,Europe and North America,Cultural,False,,1993,"56.31035, 38.1312"
Cultural Landscape of Kenozero Lake,Russian Federation,Europe and North America,Cultural,False,,2024,"61.928, 38.1726111111"
Ensemble of the Ferapontov Monastery,Russian Federation,Europe and North America,Cultural,False,,2000,"59.95, 38.56666667"
Kizhi Pogost,Russian Federation,Europe and North America,Cultural,False,,1990,"62.0675833333, 35.2243611111"
Western Caucasus,Russian Federation,Europe and North America,Natural,False,,1999,"44.0, 40.0"
Nyungwe National Park,Rwanda,Africa,Natural,False,,2023,"-2.5553, 29.2473333333"
"Memorial sites of the Genocide: Nyamata, Murambi, Gisozi and Bisesero",Rwanda,Africa,Cultural,False,,2023,"-2.4555277778, 29.5677222222"
Pitons Management Area,Saint Lucia,Latin America and the Caribbean,Natural,False,,2004,"13.80708333, -61.07036111"
At-Turaif District in ad-Dir'iyah,Saudi Arabia,Arab States,Cultural,False,,2010,"24.7341333333, 46.5724666667"
Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ),Saudi Arabia,Arab States,Cultural,False,,2008,"26.7836111111, 37.955"
"Historic Jeddah, the Gate to Makkah",Saudi Arabia,Arab States,Cultural,False,,2014,"21.4838888889, 39.1875"
The Cultural Landscape of Al-Faw Archaeological Area,Saudi Arabia,Arab States,Cultural,False,,2024,"19.7649166667, 45.1633888889"
Ḥimā Cultural Area,Saudi Arabia,Arab States,Cultural,False,,2021,"18.3167111111, 44.5453361111"
Niokolo-Koba National Park,Senegal,Africa,Natural,False,,1981,"13.011, -13.018"
Djoudj National Bird Sanctuary,Senegal,Africa,Natural,False,,1981,"16.414602, -16.237906"
Island of Gorée,Senegal,Africa,Cultural,False,,1978,"14.66722, -17.40083"
Saloum Delta,Senegal,Africa,Cultural,False,,2011,"13.8352777778, -16.4986111111"
Studenica Monastery,Serbia,Europe and North America,Cultural,False,,1986,"43.4865277778, 20.5316666667"
Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,Slovakia,Europe and North America,Cultural,False,,1993,"48.46111, 18.9"
Heritage of Mercury. Almadén and Idrija,"Spain,Slovenia",Europe and North America,Cultural,False,,2012,"38.7752777778, -4.8388888889"
Škocjan Caves,Slovenia,Europe and North America,Natural,False,,1986,"45.66667, 14.0"
Vredefort Dome,South Africa,Africa,Natural,False,,2005,"-26.86, 27.26"
"Alhambra, Generalife and Albayzín, Granada",Spain,Europe and North America,Cultural,False,,1984,"37.1767777778, -3.5899166667"
Burgos Cathedral,Spain,Europe and North America,Cultural,False,,1984,"42.3407333333, -3.7040111111"
Caliphate City of Medina Azahara,Spain,Europe and North America,Cultural,False,,2018,"37.8858888889, -4.8676944444"
"Cathedral, Alcázar and Archivo de Indias in Seville",Spain,Europe and North America,Cultural,False,,1987,"37.38384, -5.99155"
